CARTE;NOM;SEXE;ADRESSE_NUM;ADRESSE_RUE;ADRESSE_CODE;ADRESSE_VILLE;ADRESSE_LAT;ADRESSE_LON;TELEPHONE;MAIL;NAISSANCE;METIER
9000170;Marcelle Longchambon;M;581;Chemin du Magnan;83310;Cogolin;43.244439;6.505053;04 01 60 86 85;longchambon83310@me.com;1931;Retraitee
9000172;Valerie Rouleau;F;15;Lotissement Val Orea 1;83120;Sainte-Maxime;43.299287;6.621773;04 30 10 98 84;valoumaxime@sfr.fr;1993;Sans emploi
9000173;Monika Freitag;F;3006;Guerrevieille;83310;Grimaud;43.29488;6.609718;04 96 49 26 55;monika.Freitag.grimaou@gmail.fr;1991;Hotesse de l'air
9000180;Leon Dandonneau ;M;211;Mas de Guerrevieille;83120;Sainte-Maxime;43.299145;6.618521;04 41 45 32 17;leon.dandanneau@aol.com;1931;Retraite
9000181;Catherine Chalut;F;22;Impasse du Stade;83310;Cogolin;43.252814;6.539124;04 09 77 27 13;cathy_chalut@aol.com;1984;Sans emploi
9000185;Roselyn Chandonnet;F;315;Avenue du Rigaud;83240;Cavalaire-sur-Mer;43.175415;6.521377;04 19 97 05 95;rosedessables@sfr.fr;1979;Vendeuse
9000187;Yves Lambert;M;7;Rue des Romains;83310;Cogolin;43.245827;6.531979;04 06 47 81 47;lambert-transport-83@bbox.com;1984;Chauffeur de taxi
9000188;Tiphaine Gribelin;F;10;Lotissement Val Orea 1;83120;Sainte-Maxime;43.299872;6.620981;04 28 26 09 73;titi83120@yahoo.fr;1979;Poissonniere
9000192;Kelly Parra Perez;F;78;Avenue du 15 Aout 1944;83990;Saint-Tropez;43.266168;6.626109;04 49 62 50 22;kellyparraperez@gmail.com;1979;Agricultrice
9000196;Najat Maloof;F;27;Rue Longue;83680;La Garde-Freinet;43.317074;6.469254;06 23 26 71 38;maloof.najat@icloud.com;1981;Secretaire
9000200;Capucine Allard;F;1482;Chemin du Jas Rout;83120;Le Plan-de-la-Tour;43.347734;6.568096;06 77 12 83 71;capusexy@gmail.fr;1993;Etudiante
9000201;Alexandra Lajoie;M;18;ZAC du Golf;83120;Sainte-Maxime;43.3387;6.648191;04 43 06 41 15;yadelajoieamaxime@sfr.fr;1958;Paysagiste
9000207;Aurelia Rochette;F;9;Avenue de la Girelle;83420;La Croix-Valmer;43.199143;6.557031;04 24 17 83 35;lili.et.polo@orange.fr;1982;Sans emploi
9000211;Johanna Quintanilla;F;280;Chemin de la Galline;83680;La Garde-Freinet;43.326892;6.495968;06 30 63 94 44;quintanilla@bbox.com;1981;Sans emploi
9000214;Vivien Breguet;M;9;Hameau Provence Parc Oasis;83580;Gassin;43.254116;6.572926;06 34 11 48 68;vivitheman@gmail.fr;1974;Maraicher
9000217;Vivien Laffitte;M;1;La Bouillabaisse;83420;La Croix-Valmer;43.191515;6.565363;04 25 95 49 65;vivien.lafitte@zoho.com;1971;Geometre
9000222;Armelle Pretre;F;103;Chemin de l'Aire du Pin;83120;Le Plan-de-la-Tour;43.344032;6.551006;06 72 94 40 08;maitre.pretre.office.notarial@gmail.com;1981;Notaire
9000223;Gaby Fournier;M;9;Impasse des Ecureuils;83240;Cavalaire-sur-Mer;43.196997;6.521549;04 19 14 61 40;gaby.de.cavalaire@sfr.fr;1933;Retraite
9000224;Frederic Guillaume;M;265;Chemin de Tremouries;83310;Cogolin;43.250394;6.541706;06 93 37 00 31;fred-a-donf@gmail.fr;1978;Entraineur sportif
9000226;Alexandre Tourneur;M;7;Rue Andre Marie Ampere;83310;Cogolin;43.256843;6.529435;04 00 68 11 41;photographie-tourneur@gmail.com;1974;Photographe
9000227;Henry Sauriol;M;39;Quai du Bailli de Suffren;83990;Saint-Tropez;43.271474;6.638834;04 52 67 97 24;ririsansloulou@orange.fr;1986;Sans emploi
9000233;Colette Jaccoud;F;14;Rue du Vieux Puits;83580;Gassin;43.228528;6.585289;06 55 73 09 76;colettelabo@sfr.fr;1963;Laborantine
9000236;Aude Laurent;F;8;Rue de la Magnanerie;83120;Sainte-Maxime;43.325756;6.626391;04 30 82 40 61;aude-et-marcus-du-83@gmail.com;1969;Sans emploi
9000238;Jerome Desnoyer;M;109;Avenue Escudelier;83350;Ramatuelle;43.188509;6.647082;04 57 31 69 43;famille-desnoyer@gmail.fr;1991;Sans emploi
9000240;Lucille Bourque;F;3;Lotissement Chateau Martin;83580;Gassin;43.26291;6.615824;06 56 28 88 30;lucille1994@free.fr;1994;Infirmiere
9000244;Kornelia Zawadzka;F;104;Rue des Messugues;83240;Cavalaire-sur-Mer;43.175999;6.516828;04 15 90 00 70;zawadzaka_k@sfr.fr;1951;Retraitee
9000252;Monique Doiron;F;11;Rue du Peyron;83310;Cogolin;43.253145;6.535501;04 07 25 39 63;monique.doiron2@hotmail.com;1943;Retraitee
9000256;Landers Dube;M;12;Rue Hoche;83310;Cogolin;43.250343;6.532492;07 26 92 10 69;landers10000@orange.fr;1994;Etudiant
9000257;Georges Bler;M;17;Allee Lou Val Figuiere;83120;Sainte-Maxime;43.323786;6.630736;04 28 01 84 56;Bler.courtage@gmail.com;1982;Courtier
9000259;Jennifer Dutoit;F;21;Boulevard des Grands Horizons;83120;Sainte-Maxime;43.316606;6.649782;04 34 67 62 32;jenny1981@laposte.net;1985;Archiviste
9000260;Franck Jegou;M;2;Chemin du Capon;83990;Saint-Tropez;43.261893;6.658344;04 49 46 93 01;la-ferme-de-francky@icloud.com;1939;Eleveur
9000262;Maud Gagnon;F;16;Avenue Georges Clemenceau;83310;Cogolin;43.251168;6.53532;04 11 00 21 10;tournesolsenfolie@gmail.fr;1982;Fleuriste
9000264;Ginette Berger;F;22;Rue du Cepoun San Martin;83990;Saint-Tropez;43.2726;6.639288;04 43 93 43 10;ginette3000@gmail.fr;1961;Estheticienne
9000267;Wioletta Piotrowska;F;1;Place des Aires;83680;La Garde-Freinet;43.316715;6.468514;06 15 25 55 97;wioletta.piotrowska@yahoo.fr;1972;Enseignante
9000268;Moise Figuier;M;10;Avenue du General Leclerc;83990;Saint-Tropez;43.268722;6.634205;04 44 47 95 24;moisesttropez@aol.com;1978;Agent de securite
9000275;Alice Pinneau;F;7;Avenue du Titan;83820;Rayol-Canadel-sur-Mer;43.159386;6.471948;06 63 54 62 38;alice83820@gmail.com;1998;Etudiante
9000277;Elodie Kaplan;F;2;Chemin des sous Bois;83310;Grimaud;43.29137;6.60247;04 92 90 81 65;kaplan63@laposte.net;1963;Femme de menage
9000289;Angela S. Martinez;F;3;Rue Saint-jacques;83680;La Garde-Freinet;43.317295;6.469099;06 21 77 74 79;olaquetalangela@sfr.fr;1990;Traductrice
9000295;Farid Sahl;M;3;Corniche de Bruxelles;83820;Rayol-Canadel-sur-Mer;43.160347;6.480061;06 66 49 27 31;farid.sahl83@aol.com;1983;Sans emploi
9000410;Alexandre Martinet;M;2;Rue du Petit Plantier;83230;Bormes-les-Mimosas;43.140547;6.345146;04 99 33 70 00;alexmartifouet@gmail.fr;1996;Etudiant
9000416;Leslie Rousselle;F;38;Golf de Gassin;83580;Gassin;43.255522;6.607271;06 52 98 24 91;leslie.olivier.fanny@gmail.com;1969;Buraliste
9000510;John Fouquet;M;4;Sentier des Forets;83310;Grimaud;43.290602;6.597564;04 94 32 55 21;jojojohn@yahoo.fr;1993;Manager
9000541;Carrie J. McGrath;F;280;Avenue de Valensole;83310;Cogolin;43.2498;6.547673;04 01 59 06 70;carrie.my.mail@free.fr;1984;Serveuse
9000673;Tao Chia;M;1172;Route de Sainte Maxime;83120;Le Plan-de-la-Tour;43.333627;6.565996;06 71 34 76 70;tao.chia.ndong.ma@icloud.com;1951;Commercant
9000700;Justine Plessis;F;388;Route du Pont de Vinaigre;83310;Cogolin;43.262533;6.566161;06 86 82 72 53;plessis-avany-associes@orange.fr;1980;Avocate
9000711;Lucas Rousselle;M;54;Rue du Dom les Restanques;83120;Sainte-Maxime;43.324802;6.630791;04 30 94 76 47;rousselle6250@orange.fr;1942;Exploitant agricole
9000767;Linda Favre;F;503;Route de Tahiti;83350;Ramatuelle;43.249357;6.659006;04 54 39 95 33;favre.linda3@gmail.com;1961;Institutrice
9000789;Anisah Mahdiyah ;F;16;Avenue Raoul Nordling;83120;Sainte-Maxime;43.298021;6.624984;04 38 97 87 91;mahdiyah83120@gmail.com;1983;Ouvriere
9000856;Alphonsine Poullain;F;25;Lotissement le Cros d'Entassi;83310;Grimaud;43.291847;6.583474;04 93 20 75 89;alphonsine.poullain@free.fr;1979;Commercante
9000888;Michela Esposito;F;45;Rue Fernand Bessy;83120;Sainte-Maxime;43.308221;6.641193;04 32 74 99 36;esposito_photo@zoho.com;1945;Photographe
9004023;Victor Brasseur;M;7;Impasse du Colombier;83310;Cogolin;43.247825;6.533247;04 03 75 37 07;chaisvictor@orange.fr;1974;Viticulteur
9004045;Lorna Romani;F;131;Avenue Alfred Nobel;83100;Toulon;43.121031;5.948104;04 97 58 83 24;mapetitelibrairie@yahoo.fr;1982;Libraire
9004048;Liliana Trevisani;F;43;Avenue de la Liberte;83120;Sainte-Maxime;43.330035;6.596926;04 38 25 94 20;mamie-lili-on-t-aime@gmail.com;1952;Retraitee
9005056;Samuel Pretre;M;3;Chemin du Meinier;83120;Sainte-Maxime;43.313532;6.652808;04 42 23 91 26;samuel.pretre.journal@hotmail.com;1969;Journaliste
